run_id,started_at,dataset_id,exit,golden_match,sweep_label,sweep_config,sweep_varied_seat,sweep_repeat,sweep_worker,seat,role,model,provider,temperature,num_ctx,think,max_tokens,calls,tokens_in,tokens_out,wall_ms,est_cost,tool_calls,replies,accepted_first_time,corrections,invalid_twice,reasons,checks_met,checks_total,checks
058c0cba-987f-4c7c-bf05-9bf2fd442090,,missing-sheet,cost_ceiling,false,,,,,,orchestrator,Orchestrator,"qwen3.5 9b, local",ollama,,,,,1,2085,313,5250,0.0,0,0,0,0,0,,0,1,blocker_escalated=0
058c0cba-987f-4c7c-bf05-9bf2fd442090,,missing-sheet,cost_ceiling,false,,,,,,intake,Intake Analyst,"qwen3.5 9b, local",ollama,,,,,6,40054,3500,59970,0.0,16,2,2,0,0,,1,1,reached_work=1
058c0cba-987f-4c7c-bf05-9bf2fd442090,,missing-sheet,cost_ceiling,false,,,,,,estimator,Estimator,claude-sonnet-5 via Bedrock,bedrock,,,,,15,407348,10226,140048,1.0086490000000001,21,3,3,0,0,,1,1,blocker_names_lp2=1
09c83b82-fd2f-4e0a-9f2a-649586ecf58e,,clean-run,stopped,false,,,,,,intake,Intake Analyst,"qwen3.5 9b, local",ollama,,,,,3,10414,1166,21925,0.0,3,1,1,0,0,,1,1,ready=1
110bbb73-3369-4684-9f66-1fe9a5266a7b,,missing-price,stopped,false,,,,,,intake,Intake Analyst,"qwen3.5 9b, local",ollama,,,,,2,10548,242,5592,0.0,8,1,1,0,0,,0,1,golden_match=0
15b6ca7a-d629-4cbd-9f60-f8a13c711df0,2026-09-17T02:54:20.603Z,planted-inconsistency,reviewer_pass,false,,,,,,orchestrator,Orchestrator,"qwen3.5 9b, local",ollama,,,,,2,8048,324,12032,0.0,0,2,2,0,0,,0,1,reworked_once=0
15b6ca7a-d629-4cbd-9f60-f8a13c711df0,2026-09-17T02:54:20.603Z,planted-inconsistency,reviewer_pass,false,,,,,,intake,Intake Analyst,"qwen3.5 9b, local",ollama,,,,,3,23463,2246,46329,0.0,18,1,1,0,0,,0,1,golden_match=0
15b6ca7a-d629-4cbd-9f60-f8a13c711df0,2026-09-17T02:54:20.603Z,planted-inconsistency,reviewer_pass,false,,,,,,estimator,Estimator,claude-sonnet-5 via Bedrock,bedrock,,,,,5,111042,4674,57028,0.295707,6,1,1,0,0,,1,1,names_both_sheets=1
15b6ca7a-d629-4cbd-9f60-f8a13c711df0,2026-09-17T02:54:20.603Z,planted-inconsistency,reviewer_pass,false,,,,,,pricing,Pricing,"qwen3.5 9b, local",ollama,,,,,3,14105,2452,38219,0.0,1,1,0,1,0,tool_not_used=1,0,1,golden_match=0
15b6ca7a-d629-4cbd-9f60-f8a13c711df0,2026-09-17T02:54:20.603Z,planted-inconsistency,reviewer_pass,false,,,,,,writer,Writer,"qwen3.5 9b, local",ollama,,,,,1,5390,1204,18830,0.0,0,1,1,0,0,,0,1,v1_carries_disagreement=0
15b6ca7a-d629-4cbd-9f60-f8a13c711df0,2026-09-17T02:54:20.603Z,planted-inconsistency,reviewer_pass,false,,,,,,reviewer,Reviewer,"gemma4 12b, local",ollama,,,,,1,2298,43,10363,0.0,0,1,1,0,0,,0,1,failed_v1_to_work=0
16bc1d17-b69b-4a0f-9533-4ca09a1e3dfd,,missing-sheet,stopped,false,,,,,,orchestrator,Orchestrator,"qwen3.5 9b, local",ollama,,,,,1,2054,295,9683,0.0,0,0,0,0,0,,0,1,blocker_escalated=0
16bc1d17-b69b-4a0f-9533-4ca09a1e3dfd,,missing-sheet,stopped,false,,,,,,intake,Intake Analyst,"qwen3.5 9b, local",ollama,,,,,3,19763,1552,29676,0.0,8,1,1,0,0,,1,1,reached_work=1
16bc1d17-b69b-4a0f-9533-4ca09a1e3dfd,,missing-sheet,stopped,false,,,,,,estimator,Estimator,claude-sonnet-5 via Bedrock,bedrock,,,,,6,108701,4305,56271,0.286497,11,2,1,0,1,missing_fields=2,1,1,blocker_names_lp2=1
1d74a94a-009a-463a-bb8a-f30456c29cb6,,planted-inconsistency,,false,,,,,,orchestrator,Orchestrator,claude-sonnet via Bedrock,bedrock,,,,,1,902,198,900,0.01,0,0,0,0,0,,0,1,reworked_once=0
1d74a94a-009a-463a-bb8a-f30456c29cb6,,planted-inconsistency,,false,,,,,,intake,Intake Analyst,claude-sonnet via Bedrock,bedrock,,,,,1,15088,3312,41000,0.09,0,1,1,0,0,,0,1,golden_match=0
269e53cf-a1a5-4f3e-b196-a135f0602232,2026-09-16T05:46:30.417Z,not-ready,not_ready,true,,,,,,intake,Intake Analyst,"qwen3.5 9b, local",ollama,,,,,4,25637,1678,31798,0.0,8,1,1,0,0,,3,3,names_deadline=1;names_specification=1;not_ready=1
28ee042c-4211-40c9-b709-69ac49dc8234,,clean-run,stopped,false,,,,,,intake,Intake Analyst,"qwen3.5 9b, local",ollama,,,,,1,2599,858,12267,0.0,7,1,1,0,0,,0,1,ready=0
37eed16d-4d9f-4565-a4a7-231fe5aa4830,2026-09-17T02:58:59.475Z,planted-inconsistency,reviewer_pass,true,,,,,,orchestrator,Orchestrator,"qwen3.5 9b, local",ollama,,,,,2,8444,306,18979,0.0,0,2,2,0,0,,1,1,reworked_once=1
37eed16d-4d9f-4565-a4a7-231fe5aa4830,2026-09-17T02:58:59.475Z,planted-inconsistency,reviewer_pass,true,,,,,,intake,Intake Analyst,"qwen3.5 9b, local",ollama,,,,,3,23623,2712,46423,0.0,18,1,1,0,0,,1,1,golden_match=1
37eed16d-4d9f-4565-a4a7-231fe5aa4830,2026-09-17T02:58:59.475Z,planted-inconsistency,reviewer_pass,true,,,,,,estimator,Estimator,claude-sonnet-5 via Bedrock,bedrock,,,,,5,117137,4790,60341,0.310391,6,1,1,0,0,,1,1,names_both_sheets=1
37eed16d-4d9f-4565-a4a7-231fe5aa4830,2026-09-17T02:58:59.475Z,planted-inconsistency,reviewer_pass,true,,,,,,pricing,Pricing,"qwen3.5 9b, local",ollama,,,,,5,23584,3987,204352,0.0,2,2,1,1,0,tool_not_used=1,1,1,golden_match=1
37eed16d-4d9f-4565-a4a7-231fe5aa4830,2026-09-17T02:58:59.475Z,planted-inconsistency,reviewer_pass,true,,,,,,writer,Writer,"qwen3.5 9b, local",ollama,,,,,7,47943,7806,751482,0.0,4,2,1,1,0,json_shape=1,0,1,v1_carries_disagreement=0
37eed16d-4d9f-4565-a4a7-231fe5aa4830,2026-09-17T02:58:59.475Z,planted-inconsistency,reviewer_pass,true,,,,,,reviewer,Reviewer,"gemma4 12b, local",ollama,,,,,2,4899,302,272317,0.0,0,2,2,0,0,,1,1,failed_v1_to_work=1
3aacf5f4-0415-4c1b-9d84-3b12c4db0c76,,not-ready,not_ready,true,,,,,,intake,Intake Analyst,"qwen3.5 9b, local",ollama,,,,,3,16674,2027,29615,0.0,7,1,1,0,0,,2,3,names_deadline=1;names_specification=0;not_ready=1
3ae451c6-29c9-4796-b6af-0b0a2ae571c3,,clean-run,stopped,false,,,,,,orchestrator,Orchestrator,"qwen3.5 9b, local",ollama,,,,,2,4475,452,7986,0.0,0,0,0,0,0,,0,1,golden_match=0
3ae451c6-29c9-4796-b6af-0b0a2ae571c3,,clean-run,stopped,false,,,,,,intake,Intake Analyst,"qwen3.5 9b, local",ollama,,,,,3,19761,1609,28726,0.0,8,1,1,0,0,,1,1,ready=1
3ae451c6-29c9-4796-b6af-0b0a2ae571c3,,clean-run,stopped,false,,,,,,estimator,Estimator,claude-sonnet-5 via Bedrock,bedrock,,,,,4,89431,4017,46414,0.240935,6,1,1,0,0,,1,1,no_blocker=1
3ae451c6-29c9-4796-b6af-0b0a2ae571c3,,clean-run,stopped,false,,,,,,pricing,Pricing,"qwen3.5 9b, local",ollama,,,,,2,7694,1997,33234,0.0,1,1,0,1,0,tool_not_used=1,0,1,completed=0
3c51338a-04c4-4329-95d4-492c47e54e8e,2026-09-17T04:55:13.106Z,clean-run,stopped,false,,,,,,single,Single model,"qwen3.5 9b, local",ollama,,,,,11,57405,408,32768,0.0,18,1,0,0,1,json_shape=2,0,0,
3e14db78-2e64-4afb-9416-9544c3b04244,2026-09-17T04:51:59.924Z,clean-run,stopped,false,,,,,,intake,Intake Analyst,"qwen3.5 9b, local",ollama,,,,,3,31561,10115,157491,0.0,18,1,0,0,1,checklist_grading=1;json_shape=1,0,1,ready=0
4af19c4d-25be-49ed-84e9-e536a133971b,,missing-sheet,stopped,false,,,,,,intake,Intake Analyst,"qwen3.5 9b, local",ollama,,,,,2,10954,242,5523,0.0,8,1,0,0,1,checklist_grading=2,0,1,reached_work=0
5e96d341-488a-47f9-abfb-8dc161cb53ff,,planted-inconsistency,reviewer_pass,true,,,,,,orchestrator,Orchestrator,"qwen3.5 9b, local",ollama,,,,,3,11647,473,13770,0.0,0,0,0,0,0,,1,1,reworked_once=1
5e96d341-488a-47f9-abfb-8dc161cb53ff,,planted-inconsistency,reviewer_pass,true,,,,,,intake,Intake Analyst,"qwen3.5 9b, local",ollama,,,,,3,19395,1867,27996,0.0,8,1,1,0,0,,1,1,golden_match=1
5e96d341-488a-47f9-abfb-8dc161cb53ff,,planted-inconsistency,reviewer_pass,true,,,,,,estimator,Estimator,claude-sonnet-5 via Bedrock,bedrock,,,,,7,192784,5838,77660,0.488343,8,1,1,0,0,,1,1,names_both_sheets=1
5e96d341-488a-47f9-abfb-8dc161cb53ff,,planted-inconsistency,reviewer_pass,true,,,,,,pricing,Pricing,"qwen3.5 9b, local",ollama,,,,,6,28201,5178,77499,0.0,2,2,0,2,0,tool_not_used=2,1,1,golden_match=1
5e96d341-488a-47f9-abfb-8dc161cb53ff,,planted-inconsistency,reviewer_pass,true,,,,,,writer,Writer,"qwen3.5 9b, local",ollama,,,,,4,28841,11463,164708,0.0,1,2,1,1,0,provenance_tags=1,1,1,v1_carries_disagreement=1
5e96d341-488a-47f9-abfb-8dc161cb53ff,,planted-inconsistency,reviewer_pass,true,,,,,,reviewer,Reviewer,"gemma4 12b, local",ollama,,,,,2,8900,324,19650,0.0,0,2,2,0,0,,1,1,failed_v1_to_work=1
641187e1-bf75-48f9-900e-5773fd0ab8b2,2026-09-17T04:59:08.738Z,planted-inconsistency,stopped,false,,,,,,orchestrator,Orchestrator,"qwen3.5 9b, local",ollama,,,,,1,2051,290,4926,0.0,0,1,1,0,0,,0,1,reworked_once=0
